ProductID,UniversalFit,SKU
60480,No,DASK36
60481,No,DASK8
60482,No,DASK16
60483,No,DASK51
60484,No,DASK52
60485,No,DASK63
60486,No,DASK75
60487,No,DASK21
60488,No,DASK2
60489,No,DASK53
60490,No,DASK55
60491,No,DASK54
60492,No,DASK57
60493,No,DASK65
60494,No,DASK66
60495,No,DASK77
60496,No,DASK79
60497,No,DASK80
60498,No,DASK26
60499,No,DASK27
60500,No,DASK37
60501,No,DASK38
60502,No,DASK39
60503,No,DASK40
60504,No,DASK5
60505,No,DASK56
60506,No,DASK76
60507,No,DASK78
60508,No,DASK25
60509,No,DASK58
60510,No,DASK6
60511,No,DASK59
60512,No,DASK67
60513,No,DASK70
60514,No,DASK81
60515,No,DASK41
60516,No,DASK42
60517,No,DASK43
60518,No,DASK44
60519,No,DASK82
60520,No,DASK83
60521,No,DASK28
60522,No,DASK68
60523,No,DASK69
60524,No,DASK45
60525,No,DASK84
60526,No,DASK85
60527,No,DASK3
60528,No,DASK4
60529,No,OR2020BK
60530,No,OR2020BU
60531,No,OR2020R
60532,No,OR2020S
60533,No,OR2222S
60534,No,OR2018BK
60535,No,OR2017BK
60536,No,OR2017BU
60537,No,OR2018BU
60538,No,OR2017R
60539,No,OR2018R
60540,No,OR2017S
60541,No,OR2018S
60542,No,OR2016BK
60543,No,OR2011BK
60544,No,OR2012BK
60545,No,OR2013BK
60546,No,OR2014BK
60547,No,OR2015BK
60548,No,OR2016BU
60549,No,OR2011BU
60550,No,OR2012BU
60551,No,OR2013BU
60552,No,OR2014BU
60553,No,OR2015BU
60554,No,OR2015R
60555,No,OR2016R
60556,No,OR2011R
60557,No,OR2012R
60558,No,OR2013R
60559,No,OR2014R
60560,No,OR2015S
60561,No,OR2011S
60562,No,OR2012S
60563,No,OR2013S
60564,No,OR2014S
60565,No,OR2016S
60566,No,OR2747
60567,No,OR2748
60568,No,OR2749
60569,No,OR2750
60570,No,OR2751
60571,No,OR2752
60572,No,OR2753
60573,No,OR2755
60574,No,OR2756
60575,No,OR2757
60576,No,OR2758
60577,No,OR2759
60578,No,OR2760
60579,No,OR2761
60580,No,OR2762
60581,No,OR2763
60582,No,OR2764
60583,No,OR2765
60584,No,OR2766
60585,No,OR2767
60586,No,OR2769
60587,No,OR2770
60588,No,OR2771
60589,No,OR2772
60590,No,OR2773
60591,No,OR2774
60592,No,OR2775
60593,No,OR2776
60594,No,OR2777
60595,No,OR2778
60596,No,OR2779
60597,No,OR2780
60598,No,OR2781
60599,No,OR2782
60600,No,OR2783
60601,No,OR2784
60602,No,OR2785
60603,No,OR2786
60604,No,OR2788
60605,No,OR2789
60606,No,OR2790
60607,No,OR2791
60608,No,OR2792
60609,No,OR2793
60610,No,OR2794
60611,No,OR2795
60612,No,OR2796
60613,No,OR2768
60614,No,L01301BK
60615,No,L01302BK
60616,No,L01305BK
60617,No,L01306BK
60618,No,L01307BK
60619,No,L01308BK
60620,No,L01309BK
60621,No,L01301BU
60622,No,L01302BU
60623,No,L01305BU
60624,No,L01306BU
60625,No,L01307BU
60626,No,L01308BU
60627,No,L01309BU
60628,No,L01302GN
60629,No,L01301R
60630,No,L01302R
60631,No,L01305R
60632,No,L01306R
60633,No,L01307R
60634,No,L01308R
60635,No,L01309R
60636,Yes,OR3177
60637,Yes,OR3177W
60638,Yes,13001CBRB
60639,Yes,13001CBR
60640,Yes,13001GXB
60641,Yes,13001GX
60642,Yes,13001R1B
60643,Yes,13001R1
60644,Yes,13001R6B
60645,Yes,13001RRB
60646,Yes,13001RR
60647,Yes,13001ZXRB
60648,Yes,13001ZXR
60649,Yes,12075
60650,Yes,12074
60651,Yes,12101
60652,Yes,12061
60653,Yes,12060
60654,Yes,12100
60655,Yes,12204
60656,Yes,12203
60657,Yes,12202
60658,Yes,12201
60659,Yes,ORBP18BK
60660,Yes,ORBP18BU
60661,Yes,ORBP18GN
60662,Yes,ORBP18R
60663,Yes,ORBP18W
60664,Yes,ORBP18Y
60665,Yes,ORBP18O
60666,No,OR2472
60667,No,OR2469
60668,No,OR2725
60668,No,OR2725
60669,No,OR2726
60669,No,OR2726
60670,No,OR2727
60670,No,OR2727
60671,No,OR2728
60671,No,OR2728
60672,No,OR2730
60672,No,OR2730
60673,No,OR2729
60673,No,OR2729
60674,Yes,OR307BK
60675,Yes,OR307BU
60676,Yes,OR307R
60677,Yes,OR308BK
60678,Yes,OR308BU
60679,Yes,OR308R
60680,No,OR3115S
60681,No,OR3116S
60682,No,OR3117S
60683,No,OR3118S
60684,No,OR3119S
60685,No,OR3120S
60686,No,OR3121S
60687,No,OR3122S
60688,No,OR3123S
60689,No,OR3124S
60690,No,OR3125S
60691,No,12050
60692,No,12205
60693,No,12206
60694,No,12043
60695,No,12045
60696,No,12047
60697,No,12049
60698,No,12051
60699,No,12053
60700,No,12055
60701,No,12210
60702,No,12073
60703,No,12079
60704,No,12077
60705,No,12078
60706,No,12076
60707,No,12209
60708,No,12072
60709,No,12080
60710,No,12081
60711,No,12042
60712,No,12046
60713,No,12048
60714,No,12052
60715,No,12054
60716,No,12052B
60717,No,12044
60718,No,KIT10BK
60719,No,KIT11BK
60720,No,KIT13BK
60721,No,KIT14BK
60722,No,KIT15BK
60723,No,KIT16BK
60724,No,KIT17BK
60725,No,KIT18BK
60726,No,KIT19BK
60727,No,KIT1BK
60728,No,KIT20BK
60729,No,KIT21BK
60730,No,KIT22BK
60731,No,KIT2BK
60732,No,KIT3BK
60733,No,KIT4BK
60734,No,KIT5BK
60735,No,KIT6BK
60736,No,KIT8BK
60737,No,KIT9BK
60738,No,KIT7BK
60739,No,KIT23BK
60740,No,KIT24BK
60741,No,KIT10BU
60742,No,KIT11BU
60743,No,KIT13BU
60744,No,KIT14BU
60745,No,KIT15BU
60746,No,KIT16BU
60747,No,KIT17BU
60748,No,KIT18BU
60749,No,KIT19BU
60750,No,KIT1BU
60751,No,KIT20BU
60752,No,KIT21BU
60753,No,KIT22BU
60754,No,KIT2BU
60755,No,KIT3BU
60756,No,KIT4BU
60757,No,KIT5BU
60758,No,KIT6BU
60759,No,KIT7BU
60760,No,KIT8BU
60761,No,KIT9BU
60762,No,KIT23BU
60763,No,KIT24BU
60764,No,KIT11GN
60765,No,KIT10GN
60766,No,KIT20GN
60767,No,KIT13GN
60768,No,KIT10R
60769,No,KIT11R
60770,No,KIT13R
60771,No,KIT14R
60772,No,KIT15R
60773,No,KIT16R
60774,No,KIT17R
60775,No,KIT18R
60776,No,KIT19R
60777,No,KIT1R
60778,No,KIT20R
60779,No,KIT21R
60780,No,KIT22R
60781,No,KIT2R
60782,No,KIT3R
60783,No,KIT4R
60784,No,KIT5R
60785,No,KIT6R
60786,No,KIT7R
60787,No,KIT8R
60788,No,KIT9R
60789,No,KIT23R
60790,No,KIT24R
60791,No,PP300CR
60792,No,PP300CR85
60793,No,PP300CRFB
60794,No,PP300KXB
60795,No,PP300RMZB
60796,No,PP300YZB
60797,No,PP300CRB
60798,Yes,PP1724BK
60799,Yes,PP1724BU
60800,Yes,PP1724G
60801,Yes,PP1724GN
60802,Yes,PP1724R
